algorithm,input_size,cost,runtime,tsp_file
brute_restart,8,122.90073067989336,0:00:00.035196,Random9.tsp
random,8,211.3611373773744,0:00:00.000021,Random9.tsp
greedy,8,125.20716369102868,0:00:00.000005,Random9.tsp
random_restart,8,127.62937427731762,0:00:00.131698,Random9.tsp
brute_force,6,121.78745287044687,0:00:00.000510,Random6.tsp
brute_restart,6,121.78745287044687,0:00:00.000551,Random6.tsp
random,6,161.05275309660954,0:00:00.000013,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000004,Random6.tsp
random_restart,6,118.627821222467,0:00:00.119519,Random6.tsp
brute_force,8,64.28930720237605,0:00:00.038637,Random12.tsp
brute_restart,8,64.28930720237605,0:00:00.032856,Random12.tsp
random,8,84.68179234787159,0:00:00.000017,Random12.tsp
greedy,8,62.21000621172014,0:00:00.000005,Random12.tsp
random_restart,8,59.20528983184846,0:00:00.103194,Random12.tsp
brute_force,8,192.4749315944974,0:00:00.037449,Random11.tsp
brute_restart,8,192.4749315944974,0:00:00.034466,Random11.tsp
random,8,264.1086443040318,0:00:00.000011,Random11.tsp
greedy,8,247.60670136369276,0:00:00.000005,Random11.tsp
random_restart,8,192.55361693448089,0:00:00.138420,Random11.tsp
brute_force,8,85.76579654571638,0:00:00.038209,Random10.tsp
brute_restart,8,85.76579654571638,0:00:00.036438,Random10.tsp
random,8,165.17314203980482,0:00:00.000036,Random10.tsp
greedy,8,102.42006974640977,0:00:00.000005,Random10.tsp
random_restart,8,81.24454684359405,0:00:00.127684,Random10.tsp
brute_force,4,205.5557535142479,0:00:00.000016,Random4.tsp
brute_restart,4,205.5557535142479,0:00:00.000017,Random4.tsp
random,4,263.5752074504109,0:00:00.000007,Random4.tsp
greedy,4,215.0855330320905,0:00:00.000003,Random4.tsp
random_restart,4,206.66118399925062,0:00:00.082073,Random4.tsp
brute_force,5,123.59630257145234,0:00:00.000077,Random5.tsp
brute_restart,5,123.59630257145234,0:00:00.000083,Random5.tsp
random,5,128.72483037486012,0:00:00.000012,Random5.tsp
greedy,5,139.1335417499496,0:00:00.000004,Random5.tsp
random_restart,5,113.67313927589409,0:00:00.097566,Random5.tsp
brute_force,7,59.8329928904371,0:00:00.004145,Random7.tsp
brute_restart,7,59.8329928904371,0:00:00.004177,Random7.tsp
random,7,67.83901355029795,0:00:00.000015,Random7.tsp
