algorithm,input_size,cost,runtime,tsp_file
brute_force,2,21.047512320599083,0:00:00.000021,11NodeDFSBFS.tsp
brute_restart,2,21.047512320599083,0:00:00.000004,11NodeDFSBFS.tsp
random,2,42.095024641198165,0:00:00.000110,11NodeDFSBFS.tsp
greedy,2,42.095024641198165,0:00:00.000003,11NodeDFSBFS.tsp
random_restart,2,42.095024641198165,0:00:00.065747,11NodeDFSBFS.tsp
brute_force,3,35.41105342572156,0:00:00.000033,11NodeDFSBFS.tsp
brute_restart,3,35.41105342572156,0:00:00.000008,11NodeDFSBFS.tsp
random,3,48.248712368536545,0:00:00.000017,11NodeDFSBFS.tsp
greedy,3,48.248712368536545,0:00:00.000004,11NodeDFSBFS.tsp
random_restart,3,48.248712368536545,0:00:00.093044,11NodeDFSBFS.tsp
brute_force,4,73.0816662696073,0:00:00.000050,11NodeDFSBFS.tsp
brute_restart,4,73.0816662696073,0:00:00.000029,11NodeDFSBFS.tsp
random,4,92.87856280694447,0:00:00.000021,11NodeDFSBFS.tsp
greedy,4,96.9735344281961,0:00:00.000006,11NodeDFSBFS.tsp
random_restart,4,90.82239715649874,0:00:00.203292,11NodeDFSBFS.tsp
brute_force,5,83.73067559451698,0:00:00.000213,11NodeDFSBFS.tsp
brute_restart,5,83.73067559451698,0:00:00.000160,11NodeDFSBFS.tsp
random,5,131.4866197732769,0:00:00.000028,11NodeDFSBFS.tsp
greedy,5,103.65800709587026,0:00:00.000008,11NodeDFSBFS.tsp
random_restart,5,96.56833453733196,0:00:00.218278,11NodeDFSBFS.tsp
brute_force,6,103.85975894751672,0:00:00.001026,11NodeDFSBFS.tsp
brute_restart,6,103.85975894751672,0:00:00.000984,11NodeDFSBFS.tsp
random,6,170.06106328680806,0:00:00.000030,11NodeDFSBFS.tsp
greedy,6,126.52091309233384,0:00:00.000009,11NodeDFSBFS.tsp
random_restart,6,116.6974178903317,0:00:00.299720,11NodeDFSBFS.tsp
brute_force,7,106.19309216829907,0:00:00.007922,11NodeDFSBFS.tsp
brute_restart,7,106.19309216829907,0:00:00.008133,11NodeDFSBFS.tsp
random,7,208.78370820354542,0:00:00.000040,11NodeDFSBFS.tsp
greedy,7,126.12042366965235,0:00:00.000010,11NodeDFSBFS.tsp
random_restart,7,119.03075111111406,0:00:00.305950,11NodeDFSBFS.tsp
brute_force,8,119.78585178523973,0:00:00.081175,11NodeDFSBFS.tsp
brute_restart,8,119.78585178523973,0:00:00.062081,11NodeDFSBFS.tsp
random,8,161.51955251042938,0:00:00.000047,11NodeDFSBFS.tsp
greedy,8,143.4804944034327,0:00:00.000011,11NodeDFSBFS.tsp
random_restart,8,132.6235107280547,0:00:00.401361,11NodeDFSBFS.tsp
brute_force,9,125.24681037859021,0:00:00.775189,11NodeDFSBFS.tsp
brute_restart,9,125.24681037859021,0:00:00.861752,11NodeDFSBFS.tsp
random,9,265.49770179540155,0:00:00.000070,11NodeDFSBFS.tsp
greedy,9,145.1741418799435,0:00:00.000013,11NodeDFSBFS.tsp
random_restart,9,143.0368876270382,0:00:01.200313,11NodeDFSBFS.tsp
