algorithm,input_size,best_cost,best_cost_path,least_hops,least_hops_path,runtime,tsp_file
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000054,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000038,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000023,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000056,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000038,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000023,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000056,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000037,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000024,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000053,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000037,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000023,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000054,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000036,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000025,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:18.167461,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:08.775966,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:00:00.000024,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:10.507465,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:03.942445,11NodeDFSBFS.tsp
bfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",3,"[0, 3, 6, 9]",0:01:00.436216,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:01:16.138105,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:28.572284,11NodeDFSBFS.tsp
