algorithm,input_size,best_cost,runtime,tsp_file
greedy,11,239.55537720400585,0:00:54.697560,11NodeDFSBFS.tsp
greedy,11,160.20481191017146,0:00:54.605588,11NodeDFSBFS.tsp
greedy,11,222.8920983174526,0:00:54.943464,11NodeDFSBFS.tsp
greedy,11,233.42927749165946,0:00:54.841336,11NodeDFSBFS.tsp
greedy,11,233.42927749165946,0:00:54.943074,11NodeDFSBFS.tsp
greedy,11,214.35193575092734,0:00:54.792431,11NodeDFSBFS.tsp
greedy,11,210.11713629435042,0:00:54.713197,11NodeDFSBFS.tsp
greedy,11,186.0374010507629,0:00:47.243553,11NodeDFSBFS.tsp
greedy,11,209.16767089885698,0:00:46.878280,11NodeDFSBFS.tsp
greedy,11,200.95781752107288,0:00:19.720965,11NodeDFSBFS.tsp
greedy,11,200.95781752107288,0:00:19.760578,11NodeDFSBFS.tsp
greedy,11,200.95781752107288,0:00:26.850423,11NodeDFSBFS.tsp
greedy,11,175.92929287207278,0:00:50.941822,11NodeDFSBFS.tsp
greedy,11,200.95781752107288,0:00:26.907503,11NodeDFSBFS.tsp
greedy,11,200.95781752107288,0:00:27.009558,11NodeDFSBFS.tsp
greedy,11,207.07515369326484,0:00:26.938003,11NodeDFSBFS.tsp
greedy,11,156.94737683802035,0:00:26.802741,11NodeDFSBFS.tsp
greedy,11,125.35076276585771,0:00:54.043103,11NodeDFSBFS.tsp
greedy,11,125.35076276585771,0:00:54.043103,11NodeDFSBFS.tsp
greedy,11,139.13747184776966,0:00:50.751002,11NodeDFSBFS.tsp
greedy,11,125.35076276585771,0:00:33.948696,11NodeDFSBFS.tsp
greedy,11,125.35076276585771,0:00:33.948696,11NodeDFSBFS.tsp
greedy,11,139.13747184776966,0:00:32.845657,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:24.068781,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:24.068781,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:23.948822,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:24.068781,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:23.948822,11NodeDFSBFS.tsp
greedy,11,153.10057817227954,0:00:23.892297,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:24.068781,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:23.948822,11NodeDFSBFS.tsp
greedy,11,153.10057817227954,0:00:23.892297,11NodeDFSBFS.tsp
greedy,11,152.50397868825496,0:00:24.029252,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:24.920457,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.840035,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:23.879688,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:23.811974,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:23.988253,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:23.876396,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:24.068781,11NodeDFSBFS.tsp
greedy,11,154.80781382005972,0:00:23.948822,11NodeDFSBFS.tsp
greedy,11,153.10057817227954,0:00:23.892297,11NodeDFSBFS.tsp
greedy,11,152.50397868825496,0:00:24.029252,11NodeDFSBFS.tsp
greedy,11,152.503978688255,0:00:23.919959,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:25.007901,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:25.007901,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:23.966036,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:11.653196,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:11.653196,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:11.542405,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:11.653196,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:11.542405,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:11.519075,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:11.653196,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:11.542405,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:11.519075,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:11.536689,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:11.653196,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:11.542405,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:11.519075,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:11.536689,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:11.514555,11NodeDFSBFS.tsp
