algorithm,input_size,best_cost,best_cost_path,least_hops,least_hops_path,runtime,tsp_file
dfs,3,8.209853377784102,"[0, 2]",2,"[0, 2]",0:00:00.000010,11NodeDFSBFS.tsp
greedy,3,8.209853377784102,"[0, 2]",2,"[0, 2]",0:00:00.000012,11NodeDFSBFS.tsp
bfs,4,inf,,inf,,0:00:00.000007,11NodeDFSBFS.tsp
dfs,4,25.95058426467555,"[0, 3]",2,"[0, 3]",0:00:00.000013,11NodeDFSBFS.tsp
greedy,4,25.95058426467555,"[0, 3]",2,"[0, 3]",0:00:00.000013,11NodeDFSBFS.tsp
bfs,5,inf,,inf,,0:00:00.000008,11NodeDFSBFS.tsp
dfs,5,21.53790179369681,"[0, 2, 4]",3,"[0, 2, 4]",0:00:00.000019,11NodeDFSBFS.tsp
greedy,5,21.53790179369681,"[0, 2, 4]",3,"[0, 2, 4]",0:00:00.000015,11NodeDFSBFS.tsp
bfs,6,inf,,inf,,0:00:00.000006,11NodeDFSBFS.tsp
dfs,6,38.24960600529399,"[0, 3, 5]",3,"[0, 3, 5]",0:00:00.000026,11NodeDFSBFS.tsp
greedy,6,38.24960600529399,"[0, 3, 5]",3,"[0, 3, 5]",0:00:00.000020,11NodeDFSBFS.tsp
bfs,7,inf,,inf,,0:00:00.000007,11NodeDFSBFS.tsp
dfs,7,37.36835819134047,"[0, 2, 4, 6]",4,"[0, 2, 3, 6]",0:00:00.000027,11NodeDFSBFS.tsp
greedy,7,37.36835819134047,"[0, 2, 4, 6]",4,"[0, 2, 4, 6]",0:00:00.000021,11NodeDFSBFS.tsp
bfs,8,inf,,inf,,0:00:00.000007,11NodeDFSBFS.tsp
dfs,8,46.94119053788562,"[0, 3, 5, 7]",4,"[0, 2, 4, 7]",0:00:00.000037,11NodeDFSBFS.tsp
greedy,8,46.94119053788562,"[0, 3, 5, 7]",4,"[0, 2, 4, 7]",0:00:00.000030,11NodeDFSBFS.tsp
bfs,9,inf,,inf,,0:00:00.000006,11NodeDFSBFS.tsp
dfs,9,45.67812117008132,"[0, 2, 4, 6, 8]",5,"[0, 2, 3, 6, 8]",0:00:00.000045,11NodeDFSBFS.tsp
greedy,9,45.67812117008132,"[0, 2, 4, 6, 8]",5,"[0, 2, 4, 6, 8]",0:00:00.000029,11NodeDFSBFS.tsp
bfs,10,inf,,inf,,0:00:00.000006,11NodeDFSBFS.tsp
dfs,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000060,11NodeDFSBFS.tsp
greedy,10,57.522998474436015,"[0, 3, 5, 7, 9]",5,"[0, 2, 4, 6, 9]",0:00:00.000042,11NodeDFSBFS.tsp
bfs,11,inf,,inf,,0:00:00.000009,11NodeDFSBFS.tsp
dfs,11,57.96716475441191,"[0, 2, 4, 6, 8, 10]",6,"[0, 2, 3, 5, 7, 10]",0:00:00.000083,11NodeDFSBFS.tsp
greedy,11,57.96716475441191,"[0, 2, 4, 6, 8, 10]",6,"[0, 2, 4, 6, 8, 10]",0:00:00.000047,11NodeDFSBFS.tsp
