algorithm,input_size,best_cost,runtime,tsp_file
greedy,11,167.29448446870975,0:00:00.000050,11NodeDFSBFS.tsp
greedy_insertion,11,160.20481191017146,0:00:00.000163,11NodeDFSBFS.tsp
greedy,30,544.451754160073,0:00:00.000158,Random30.tsp
greedy_insertion,30,531.1612169893681,0:00:00.001139,Random30.tsp
greedy,40,684.1204274771372,0:00:00.000252,Random40.tsp
greedy_insertion,40,676.1774667731977,0:00:00.001799,Random40.tsp
greedy,11,167.29448446870975,0:00:00.000048,11NodeDFSBFS.tsp
greedy_insertion,11,160.20481191017146,0:00:00.878915,11NodeDFSBFS.tsp
greedy,11,167.29448446870975,0:00:00.000051,11NodeDFSBFS.tsp
greedy_insertion,11,160.20481191017143,0:00:00.894703,11NodeDFSBFS.tsp
greedy,30,544.451754160073,0:00:00.000159,Random30.tsp
greedy_insertion,30,543.9053749017776,0:00:02.317876,Random30.tsp
greedy,40,684.1204274771372,0:00:00.000258,Random40.tsp
greedy_insertion,40,679.4268115654876,0:00:03.314898,Random40.tsp
